Landsat Product Identifier L2,Landsat Product Identifier L1,Landsat Scene Identifier,Date Acquired,Collection Category,Collection Number,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Nadir/Off Nadir,Roll Angle,Date Product Generated L2,Date Product Generated L1,Start Time,Stop Time,Station Identifier,Day/Night Indicator,Land Cloud Cover,Scene Cloud Cover L1,Ground Control Points Model,Ground Control Points Version,Geometric RMSE Model,Geometric RMSE Model X,Geometric RMSE Model Y,Processing Software Version,Sun Elevation L0RA,Sun Azimuth L0RA,TIRS SSM Model,Data Type L2,Sensor Identifier,Satellite,Product Map Projection L1,UTM Zone,Datum,Ellipsoid,Scene Center Lat DMS,Scene Center Long DMS,Corner Upper Left Lat DMS,Corner Upper Left Long DMS,Corner Upper Right Lat DMS,Corner Upper Right Long DMS,Corner Lower Left Lat DMS,Corner Lower Left Long DMS,Corner Lower Right Lat DMS,Corner Lower Right Long DMS,Scene Center Latitude,Scene Center Longitude,Corner Upper Left Latitude,Corner Upper Left Longitude,Corner Upper Right Latitude,Corner Upper Right Longitude,Corner Lower Left Latitude,Corner Lower Left Longitude,Corner Lower Right Latitude,Corner Lower Right Longitude,Display ID,Entity ID
LC09_L2SP_028031_20220823_20230330_02_T1,LC09_L1TP_028031_20220823_20230330_02_T1,LC90280312022235LGN05,2022/08/23,T1,2, 028, 031, 028, 031,NADIR,  -0.001,2023/03/30,2023/03/30,2022-08-23 17:05:57,2022-08-23 17:06:29,LGN,DAY,   2.92,   2.92,580,5,    6.815,    4.876,    4.760,LPGS_16.2.0,54.77962901,144.12031485,N/A,OLI_TIRS_L2SP,OLI_TIRS,9,UTM,14,WGS84,WGS84,41°45'34.42"N,96°04'10.67"W,42°49'23.63"N,97°25'01.13"W,42°45'02.99"N,94°37'59.23"W,40°44'16.73"N,97°28'02.86"W,40°40'14.34"N,94°46'18.98"W, 41.75956, -96.06963, 42.82323, -97.41698, 42.75083, -94.63312, 40.73798, -97.46746, 40.67065, -94.77194,LC09_L2SP_028031_20220823_20230330_02_T1,LC90280312022235LGN05
LC09_L2SP_028032_20220823_20230330_02_T1,LC09_L1TP_028032_20220823_20230330_02_T1,LC90280322022235LGN05,2022/08/23,T1,2, 028, 032, 028, 032,NADIR,  -0.001,2023/03/30,2023/03/30,2022-08-23 17:06:21,2022-08-23 17:06:53,LGN,DAY,   4.40,   4.40,561,5,    7.048,    4.935,    5.032,LPGS_16.2.0,55.75847871,142.33337043,N/A,OLI_TIRS_L2SP,OLI_TIRS,9,UTM,14,WGS84,WGS84,40°19'58.66"N,96°31'56.06"W,41°23'37.57"N,97°51'27.54"W,41°20'03.62"N,95°07'50.34"W,39°18'17.71"N,97°53'32.53"W,39°14'58.92"N,95°14'52.55"W, 40.33296, -96.53224, 41.39377, -97.85765, 41.33434, -95.13065, 39.30492, -97.89237, 39.24970, -95.24793,LC09_L2SP_028032_20220823_20230330_02_T1,LC90280322022235LGN05
LC08_L2SP_027032_20220824_20220924_02_T1,LC08_L1TP_027032_20220824_20220924_02_T1,LC80270322022236LGN00,2022/08/24,T1,2, 027, 032, 027, 032,NADIR,  -0.001,2022/09/24,2022/09/24,2022-08-24 17:00:29,2022-08-24 17:01:01,LGN,DAY,  13.31,  13.31,591,5,    5.871,    4.004,    4.293,LPGS_16.1.0,55.52775618,142.84810591,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,15,WGS84,WGS84,40°19'58.37"N,94°58'50.95"W,41°22'22.37"N,96°25'15.35"W,41°25'19.78"N,93°36'19.91"W,39°13'11.17"N,96°18'50.08"W,39°15'55.66"N,93°35'11.58"W, 40.33288, -94.98082, 41.37288, -96.42093, 41.42216, -93.60553, 39.21977, -96.31391, 39.26546, -93.58655,LC08_L2SP_027032_20220824_20220924_02_T1,LC80270322022236LGN00
LC08_L2SP_025032_20220826_20220909_02_T1,LC08_L1TP_025032_20220826_20220909_02_T1,LC80250322022238LGN00,2022/08/26,T1,2, 025, 032, 025, 032,NADIR,  -0.001,2022/09/09,2022/09/09,2022-08-26 16:48:07,2022-08-26 16:48:39,LGN,DAY,  20.26,  20.26,348,5,    7.016,    4.500,    5.383,LPGS_16.1.0,54.98100807,143.62302982,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,15,WGS84,WGS84,40°19'57.29"N,91°53'19.54"W,41°23'18.10"N,93°14'59.93"W,41°21'40.90"N,90°29'43.22"W,39°16'39"N,93°14'32.32"W,39°15'08.78"N,90°34'19.56"W, 40.33258, -91.88876, 41.38836, -93.24998, 41.36136, -90.49534, 39.27750, -93.24231, 39.25244, -90.57210,LC08_L2SP_025032_20220826_20220909_02_T1,LC80250322022238LGN00
LC09_L2SP_024032_20220827_20230331_02_T1,LC09_L1TP_024032_20220827_20230331_02_T1,LC90240322022239LGN01,2022/08/27,T1,2, 024, 032, 024, 032,NADIR,  -0.001,2023/03/31,2023/03/31,2022-08-27 16:41:38,2022-08-27 16:42:10,LGN,DAY,  10.46,  10.46,503,5,    6.895,    4.792,    4.958,LPGS_16.2.0,54.66711511,143.88859183,N/A,OLI_TIRS_L2SP,OLI_TIRS,9,UTM,15,WGS84,WGS84,40°19'58.51"N,90°20'50.96"W,41°23'40.09"N,91°40'15.74"W,41°19'50.23"N,88°56'40.20"W,39°18'30.49"N,91°42'40.97"W,39°14'56.87"N,89°04'02.10"W, 40.33292, -90.34749, 41.39447, -91.67104, 41.33062, -88.94450, 39.30847, -91.71138, 39.24913, -89.06725,LC09_L2SP_024032_20220827_20230331_02_T1,LC90240322022239LGN01
LC09_L2SP_029030_20220830_20230331_02_T1,LC09_L1TP_029030_20220830_20230331_02_T1,LC90290302022242LGN01,2022/08/30,T1,2, 029, 030, 029, 030,NADIR,   0.000,2023/03/31,2023/03/31,2022-08-30 17:11:45,2022-08-30 17:12:16,LGN,DAY,   0.02,   0.02,694,5,    6.490,    4.498,    4.678,LPGS_16.2.0,51.73107154,148.22937677,N/A,OLI_TIRS_L2SP,OLI_TIRS,9,UTM,14,WGS84,WGS84,43°11'05.64"N,97°07'38.24"W,44°14'45.60"N,98°32'11.72"W,44°11'52.84"N,95°39'26.71"W,42°08'29.90"N,98°33'08.06"W,42°05'49.34"N,95°46'12.36"W, 43.18490, -97.12729, 44.24600, -98.53659, 44.19801, -95.65742, 42.14164, -98.55224, 42.09704, -95.77010,LC09_L2SP_029030_20220830_20230331_02_T1,LC90290302022242LGN01
LC09_L2SP_029031_20220830_20230331_02_T1,LC09_L1TP_029031_20220830_20230331_02_T1,LC90290312022242LGN01,2022/08/30,T1,2, 029, 031, 029, 031,NADIR,  -0.001,2023/03/31,2023/03/31,2022-08-30 17:12:09,2022-08-30 17:12:40,LGN,DAY,   0.01,   0.01,741,5,    6.518,    5.044,    4.127,LPGS_16.2.0,52.78181925,146.67768299,N/A,OLI_TIRS_L2SP,OLI_TIRS,9,UTM,14,WGS84,WGS84,41°45'35.14"N,97°36'22.97"W,42°49'04.66"N,98°59'42.40"W,42°46'59.12"N,96°10'28.99"W,40°42'37.12"N,98°59'42.94"W,40°40'40.51"N,96°15'56.02"W, 41.75976, -97.60638, 42.81796, -98.99511, 42.78309, -96.17472, 40.71031, -98.99526, 40.67792, -96.26556,LC09_L2SP_029031_20220830_20230331_02_T1,LC90290312022242LGN01
LC08_L2SP_028030_20220831_20220910_02_T1,LC08_L1TP_028030_20220831_20220910_02_T1,LC80280302022243LGN00,2022/08/31,T1,2, 028, 030, 028, 030,NADIR,  -0.001,2022/09/10,2022/09/10,2022-08-31 17:05:51,2022-08-31 17:06:23,LGN,DAY,   0.02,   0.02,727,5,    6.558,    4.782,    4.488,LPGS_16.1.0,51.45965565,148.68156897,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,15,WGS84,WGS84,43°11'05.39"N,95°34'35.90"W,44°13'17.44"N,97°06'40.72"W,44°17'23.71"N,94°08'03.59"W,42°03'17.75"N,96°58'06.35"W,42°07'06.17"N,94°05'41.24"W, 43.18483, -95.57664, 44.22151, -97.11131, 44.28992, -94.13433, 42.05493, -96.96843, 42.11838, -94.09479,LC08_L2SP_028030_20220831_20220910_02_T1,LC80280302022243LGN00
LC08_L2SP_028031_20220831_20220910_02_T1,LC08_L1TP_028031_20220831_20220910_02_T1,LC80280312022243LGN00,2022/08/31,T1,2, 028, 031, 028, 031,NADIR,  -0.001,2022/09/10,2022/09/10,2022-08-31 17:06:15,2022-08-31 17:06:47,LGN,DAY,   0.02,   0.02,645,5,    6.825,    4.981,    4.665,LPGS_16.1.0,52.51854306,147.15315217,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,14,WGS84,WGS84,41°45'34.60"N,96°03'20.66"W,42°49'32.59"N,97°24'08.03"W,42°45'10.66"N,94°37'05.88"W,40°44'16.04"N,97°27'11.74"W,40°40'12.47"N,94°45'28.01"W, 41.75961, -96.05574, 42.82572, -97.40223, 42.75296, -94.61830, 40.73779, -97.45326, 40.67013, -94.75778,LC08_L2SP_028031_20220831_20220910_02_T1,LC80280312022243LGN00
LC08_L2SP_028032_20220831_20220910_02_T1,LC08_L1TP_028032_20220831_20220910_02_T1,LC80280322022243LGN00,2022/08/31,T1,2, 028, 032, 028, 032,NADIR,  -0.001,2022/09/10,2022/09/10,2022-08-31 17:06:39,2022-08-31 17:07:11,LGN,DAY,   0.01,   0.01,717,5,    6.291,    4.350,    4.545,LPGS_16.1.0,53.55490486,145.56096145,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,14,WGS84,WGS84,40°19'57.07"N,96°31'06.46"W,41°23'37.03"N,97°50'35.88"W,41°20'01.90"N,95°06'58.82"W,39°18'07.52"N,97°52'42.60"W,39°14'47.58"N,95°14'03.12"W, 40.33252, -96.51846, 41.39362, -97.84330, 41.33386, -95.11634, 39.30209, -97.87850, 39.24655, -95.23420,LC08_L2SP_028032_20220831_20220910_02_T1,LC80280322022243LGN00
LC08_L2SP_026030_20220902_20220913_02_T1,LC08_L1TP_026030_20220902_20220913_02_T1,LC80260302022245LGN00,2022/09/02,T1,2, 026, 030, 026, 030,NADIR,  -0.001,2022/09/13,2022/09/13,2022-09-02 16:53:29,2022-09-02 16:54:01,LGN,DAY,   2.52,   2.52,470,5,    7.317,    5.531,    4.790,LPGS_16.1.0,50.84959472,149.35239469,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,15,WGS84,WGS84,43°11'04.96"N,92°29'02.65"W,44°14'25.58"N,93°55'49.80"W,44°13'37.42"N,91°01'09.26"W,42°06'52.85"N,93°53'55.54"W,42°06'08.10"N,91°05'12.30"W, 43.18471, -92.48407, 44.24044, -93.93050, 44.22706, -91.01924, 42.11468, -93.89876, 42.10225, -91.08675,LC08_L2SP_026030_20220902_20220913_02_T1,LC80260302022245LGN00
